sectionKey,sectionTitle,id,idxLabel,brand,price,imgSrc,artsyName,artsyDesc,cuePalette,cueSurface,cueStructure,cueAccent
LOWER,Lower,item-16,[16],Jacquemus,4300 EUR,/mock/LOWER/P01115467 Background Removed.png,Crisp White Geometry,"Clean poplin, composed entirely of cotton, falls in a boxy silhouette with broad shoulders. A concealed button placket maintains the form’s smoothness and is cinched at the waist with a belt.","Ivory, Chalk, Stone","Clean Poplin, Subtle Sheen","Boxy Silhouette, Broad Shoulder","Golden Button, Sharp Collar"
LOWER,Lower,item-17,[17],Loro Piana,1680 EUR,/mock/LOWER/P01115533 Background Removed.png,Amber Ribbed Descent,"Entirely of cashmere, a cardigan draped in caramel and ochre tones exhibits a textural knit with a warm pile. Horn buttons secure a relaxed form, while side slit pockets are integrated into the structure.","Caramel, Ochre, Burnt Sienna","Textured Knit, Warm Pile","Relaxed Cardigan, Shawl Collar","Horn Buttons, Subtle Texture"
LOWER,Lower,item-18,[18],Dior Eyewear,840 EUR,/mock/LOWER/P01118173 Background Removed.png,Reflective Night Vision,"Smooth acetate constructs a cat-eye frame, tinted to a dark shade and accentuated by gold studs. The angularity of the brow extends to the polished temples.","Jet, Graphite, Charcoal","Smooth Acetate, Dark Tint","Cat Eye Frame, Angular Brow","Gold Studs, Polished Temples"
LOWER,Lower,item-19,[19],JW Anderson,1740 EUR,/mock/LOWER/P01150121 Background Removed.png,Silvered Surface Tension,"Suede, in shades of pearl and stone, forms a low profile, the rounded toe complemented by a delicate strap. Minute crystal embellishments sparsely cover the surface, providing a subtle iridescence.","Pearl, Stone, Taupe","Suede Grain, Subtle Iridescence","Low Profile, Rounded Toe","Crystal Embellishment, Delicate Strap"
LOWER,Lower,item-20,[20],Plan C,3040 EUR,/mock/LOWER/P01091749 Background Removed.png,Cascading Obsidian Waves,"Supple crepe, wholly of viscose, flows in a columnar form—a dark and fluid drape punctuated by ruffled detailing at the waist. The surface absorbs nearly all light, appearing as a single, unbroken depth.","Ebony, Ink, Raven","Supple Crepe, Fluid Drape","Off Shoulder, Columnar Form","Ruffled Neckline, Soft Volume"
SILHOUETTE,Silhouette,item-21,[21],Vince,1360 EUR,/mock/SILHOUETTE/P01085154 Background Removed.png,Linear Descent,"Dense knit forms a long, streamlined silhouette, presented in shades of graphite and ebony. Vertical texture defines the surface, subtly articulated by delicate frills at the edges and smooth, dark material composition containing cotton, polyester, and elastane.","Onyx, Charcoal, Graphite","Fine Ribbing, Dense Knit","Long Line, Streamlined Cut","Vertical Texture, Minimal Form"
SILHOUETTE,Silhouette,item-22,[22],Loro Piana,2520 EUR,/mock/SILHOUETTE/P01107131 Background Removed.png,Cashmere Cloud,"An expanse of soft cashmere in ecru and stone provides a relaxed form. The subtle texture of the pile engages a rounded neck, while cable knit patterns create visual interest in the warm, neutral tone.","Ecru, Oat, Stone","Soft Pile, Subtle Texture","Relaxed Fit, Rounded Neck","Cable Knit, Warm Tone"
SILHOUETTE,Silhouette,item-23,[23],Loewe,870 EUR,/mock/SILHOUETTE/P01112238 Background Removed.png,Retro Motion,"Panels of ivory suede and white technical fabric compose a low profile form, accented by leather detailing. A curved sole extends upward, defined by grooved rubber that curls into a segmented structure.","Ivory, Cream, Tan","Smooth Suede, Clean Canvas","Low Profile, Curved Sole","Gum Rubber, Wavy Detail"
SILHOUETTE,Silhouette,item-24,[24],McQueen,2480 EUR,/mock/SILHOUETTE/P01145257 Background Removed.png,Iridescent Cascade,"A delicate arc of polished facets and a flowing chain suspend clustered elements. Silver and gold links bind the faux pearls, creating a gradated descent of shimmering material.","Cream, Champagne, Silver","Polished Facets, Fluid Chain","Gradated Descent, Delicate Arc","Crystallized Clusters, Gilded Links"
SILHOUETTE,Silhouette,item-25,[25],Loro Piana,2030 EUR,/mock/SILHOUETTE/P01146483 Background Removed.png,Urban Silhouette,"Matte twill structured into a rounded crown and subtly piped, presents a dark surface. An embroidered emblem anchors a slate and ivory color scheme in a resilient polyethylene membrane.","Charcoal, Slate, Ivory","Matte Twill, Crisp Brim","Rounded Crown, Structured Visor","Embroidered Emblem, Subtle Piping"
GROUND,Ground,item-26,[26],Oscar de la Renta,2660 EUR,/mock/GROUND/P01115803%20Background%20Removed.png,Botanical Reverie,"Voluminous sleeves give shape to an indigo and porcelain surface, exhibiting flowing silk. A fitted waist and delicate butterfly detailing accentuate the cotton-blend poplin layered with full cotton lining.","Indigo, Porcelain, Verdant","Flowing Silk, Soft Drape","Voluminous Sleeves, Fitted Waist","Floral Motif, Butterfly Detail"
GROUND,Ground,item-27,[27],Jil Sander,1330 EUR,/mock/GROUND/P01126050 Background Removed.png,Minimalist Shelter,"Structured in a boxy form, a high neck and angular collar build an umber and chocolate silhouette. Geometric seams define the smooth cotton surface in an artful, minimalist composition.","Umber, Chocolate, Taupe","Smooth Cotton, Matte Finish","Boxy Form, High Neck","Geometric Seams, Angular Collar"
GROUND,Ground,item-28,[28],Bottega Veneta,1810 EUR,/mock/GROUND/P01130519 Background Removed.png,Sculpted Terrain,"Supple calf leather forms a streamlined profile held aloft by a chunky sole. Lugged rubber treads grip a dark surface, accentuated by elastic gussets and a subtle polished sheen.","Ebony, Jet, Shadow","Supple Leather, Polished Sheen","Streamlined Profile, Chunky Sole","Elastic Gussets, Rugged Tread"
GROUND,Ground,item-29,[29],Valentino,1000 EUR,/mock/GROUND/P01139054 Background Removed.png,Crimson Aperture,"Silk crepe drapes into a slightly a-line silhouette, presented in saturated terracotta and russet tones. Golden hardware accents folded pockets on this flowing form.","Scarlet, Terracotta, Russet","Supple Crepe, Matte Finish","Slightly A-Line, Boxy Silhouette","Golden Hardware, Folded Pockets"
GROUND,Ground,item-30,[30],Miu Miu,3380 EUR,/mock/GROUND/P01163665 Background Removed.png,Pearlized Constellation,"Velvet pile and patent leather combine in a curved structure, anchored by a block heel. Polished studs and chain embellishments decorate the smooth, dark exterior of this slingback form.","Onyx, Pearl, Silver","Velvet Pile, Patent Leather","Curved Slingback, Block Heel","Chain Embellishment, Polished Studs"
GROUND,Ground,item-31,[31],Rabanne,1990 EUR,/mock/GROUND/P01168094 Background Removed.png,Ivory Reverie,"A pale expanse of polyester defines this form, possessing a weightless quality suggestive of drifting vapor. Delicate scalloped edges and fine eyelet detailing trace the column silhouette, while a buttoned placket anchors the structure with a subtle linearity.","Cream, Pearl, Vanilla","Delicate Scallop, Fine Eyelet","Column Silhouette, Gentle Gather","Buttoned Placket, Ruffled Hem"
GROUND,Ground,item-32,[32],Miu Miu,1190 EUR,/mock/GROUND/P01086690 Background Removed.png,Amethyst Bloom,"Lustrous satin, rendered in shades of plum, forms an elevated stance with a curved platform. Strappy construction and a large bow detail create a playful tension against the polished sheen, hinting at a retro sensibility.","Plum, Lavender, Lilac","Satin Sheen, Polished Finish","Curved Platform, Elevated Stance","Bow Detail, Strappy Form"
ARTIFACTS,Artifacts,item-33,[33],Rebecca Vallance,2580 EUR,/mock/ARTIFACTS/P01127220 Background Removed.png,Pale Authority,"A boxy contour is established through a twill structure, possessing a smooth surface and a blend of polyester and viscose. Tonal buttons punctuate the front of this form, while patch pockets suggest a utilitarian grounding.","Butter, Bisque, Cream","Structured Twill, Smooth Finish","Boxy Contour, Double Breasted","Buttoned Front, Patch Pockets"
ARTIFACTS,Artifacts,item-34,[34],Norma Kamali,1130 EUR,/mock/ARTIFACTS/P01131706 Background Removed.png,Whispered Layers,"Semi-sheer lace and textured mesh cascade in tiered layers, creating a fluid drape with a delicate lightness. Ribbon detailing and ruffled edges accentuate the form, revealing a structure defined by elasticity and nylon.","Snow, Ivory, Chalk","Sheer Lace, Textured Mesh","Tiered Cascade, Fluid Drape","Ribbon Bow, Ruffled Edge"
ARTIFACTS,Artifacts,item-35,[35],Toteme,1990 EUR,/mock/ARTIFACTS/P01140039 Background Removed.png,Shadow Stream,"Canvas and leather converge in a streamlined profile, a study in minimalist form and contrast. Supple leather trims define the edges, while graphite and onyx tones suggest a subdued, grounded presence.","Onyx, Graphite, Coal","Canvas Texture, Leather Trim","Streamlined Profile, Low Profile","Contrast Piping, Minimalist Form"
ARTIFACTS,Artifacts,item-36,[36],Citizens of Humanity,4140 EUR,/mock/ARTIFACTS/P01145582 Background Removed.png,Indigo Wash,"Woven from a blend of cotton, this form possesses a softly worn surface and a relaxed silhouette. A boxy cut and buttoned placket contribute to its casual structure, reflecting the subtle nuances of indigo-dyed denim.","Denim Blue, Faded Indigo","Softly Worn, Distressed Finish","Relaxed Silhouette, Boxy Cut","Buttoned Placket, Patch Pocket"
ARTIFACTS,Artifacts,item-37,[37],Alexandre Vauthier,3490 EUR,/mock/ARTIFACTS/P01145719 Background Removed.png,Liquid Chrome,"A highly polished, metallic surface reflects light with an arresting sheen, forming a slouching silhouette that culminates in a pointed toe. The structure is sharply defined by a stiletto heel and secured with a zip closure.","Mirror Silver, Metallic Sheen","High Polish, Reflective Coating","Pointed Toe, Slouching Form","Stiletto Heel, Zip Closure"
ARTIFACTS,Artifacts,item-38,[38],JW Anderson,2050 EUR,/mock/ARTIFACTS/P01151263 Background Removed.png,Coral Embellishment,"Bright coral goat leather is punctuated by chunky, transparent chain links, creating a striking juxtaposition of texture and form. A low profile and slip-on style offer a casual counterpoint to the assertive chain detail.","Bright Coral, Clear Acrylic","Pebbled Leather, Smooth Finish","Slip-On Style, Low Profile","Chain Detail, Cork Sole"
ARTIFACTS,Artifacts,item-39,[39],Ruslan Baginskiy,3720 EUR,/mock/ARTIFACTS/P01151268 Background Removed.png,Golden Halo,"Woven entirely from natural straw, this circular form casts a wide shadow with its gently sloping brim. The coarse weave reveals the material’s inherent texture, suggesting a connection to the earth and its raw materials.","Wheat, Honey, Sandstone","Coarse Weave, Natural Fiber","Wide Brim, Gentle Slope","Woven Texture, Circular Form"
ARTIFACTS,Artifacts,item-40,[40],Dries Van Noten,3500 EUR,/mock/ARTIFACTS/P01121893 Background Removed.png,Floral Reverie,"A linen-blend jacquard material drapes with a subtle sheen, defining a tailored silhouette with a defined shoulder. A botanical motif is woven into the fabric, hinting at a delicate pattern within the structure.","Seafoam, Jade, Celadon","Slight Sheen, Fluid Drape","Tailored Silhouette, Defined Shoulder","Botanical Motif, Subtle Pattern"
OUTER,Outer,item-41,[41],Christopher Esber,1560 EUR,/mock/OUTER/P01078426 Background Removed.png,Solar Bloom,"A column of polyamide and elastane, possessing a liquid drape, is interrupted by an open cavity. Gathered ruches contribute to the form’s sculpted waist and are presented in shades of tangerine, ochre, and saffron.","Tangerine, Ochre, Saffron","Supple Stretch, Liquid Drape","Sculpted Waist, Column Silhouette","Gathered Ruches, Open Cavity"
OUTER,Outer,item-42,[42],Jil Sander,3180 EUR,/mock/OUTER/P01099445 Background Removed.png,Blurred Edges,"A relaxed, boxy form is created from a textured knit of alpaca wool and wool, its surface exhibiting a fuzzy pile. Subtle ribbing and a raw hemline define the edges of this structure, presented in shades of charcoal, graphite, and ash.","Charcoal, Graphite, Ash","Textured Knit, Fuzzy Pile","Relaxed Shoulders, Boxy Fit","Raw Hemline, Subtle Rib"
OUTER,Outer,item-43,[43],Christopher Esber,4220 EUR,/mock/OUTER/P01130669 Background Removed.png,Amethyst Cascade,"Fluid bias-cut jersey, smooth to the touch, defines an elongated line, supported by slender straps. An asymmetrical cut creates a dynamic interplay of form and void, appearing in the lavender, periwinkle, and lilac.","Lavender, Periwinkle, Lilac","Smooth Jersey, Fluid Bias","Slender Straps, Elongated Line","Asymmetrical Cut, Defined Waist"
OUTER,Outer,item-44,[44],Valentino Garavani,2540 EUR,/mock/OUTER/P01131309 Background Removed.png,Rose Quartz,"A minimalist form, flat in profile, is constructed from polished leather with a subtle metallic sheen. Delicate straps secure the foot, embellished with studs that catch the light, presented in blush, coral, and peach.","Blush, Coral, Peach","Metallic Sheen, Polished Leather","Flat Profile, Minimalist Form","Studded Embellishment, Delicate Straps"
OUTER,Outer,item-45,[45],Dries Van Noten,3310 EUR,/mock/OUTER/P01162560 Background Removed.png,Winter Haze,"An oversized silhouette is rendered in a textured blend of mohair and wool, the bouclé surface creating a tactile experience. A notched lapel and button closure define the structure, presented in the neutral tones of oatmeal, taupe, and stone.","Oatmeal, Taupe, Stone","Bouclé Texture, Wool Blend","Oversized Silhouette, Straight Cut","Notched Lapel, Button Closure"
OUTER,Outer,item-46,[46],Aquazzura,3110 EUR,/mock/OUTER/P01119195 Background Removed.png,Midnight Embellishment,"A pointed silhouette is constructed from bouclé fabric, exhibiting a fine glitter across its surface. A curved strap secures the form, accented by sleek hardware, presented in shades of onyx, charcoal, and jet.","Onyx, Charcoal, Jet","Textured Bouclé, Fine Glitter","Pointed Silhouette, Curved Strap","Sleek Hardware, Subtle Shine"
UPPER,Upper,item-47,[47],Blumarine,4250 EUR,/mock/UPPER/P01085106 Background Removed.png,Blush Gathering,"Viscose jersey drapes and gathers to form a ruched bodice, extending to a tiered hemline of sheer tulle. A halter neckline defines the upper structure, all rendered in the rose quartz, pale pink, and soft peach.","Rose Quartz, Pale Pink, Soft Peach","Draped Jersey, Sheer Tulle","Ruched Bodice, Tiered Hemline","Halter Neckline, Delicate Volume"
UPPER,Upper,item-48,[48],Bottega Veneta,3500 EUR,/mock/UPPER/P01124006 Background Removed.png,Sculpted Terrain,"Dark shades of brown define the exterior of this constructed form, referencing terrestrial mapping through layered paneling. Supple calf leather yields to a robust rubber composition, articulated by a weighty sole and elastic gussets that suggest articulated movement. Echoes of umber and espresso blend across the surface, suggesting geological strata.","Dark Chocolate, Espresso, Umber","Supple Leather, Polished Finish","Chunky Sole, Elastic Gussets","Stacked Heel, Defined Profile"
UPPER,Upper,item-49,[49],Valentino Garavani,3010 EUR,/mock/UPPER/P01124009 Background Removed.png,Metallic Bow,"A liquid sheen coats the metallic leather, reflecting light across the slender structure. Polished silver gives form to both the subtle fastening and an oversized bow, anchoring the delicate arrangement of straps. Platinum and pewter tones coalesce into a bright, cool presence.","Silver, Platinum, Pewter","Liquid Leather, Smooth Grain","Thong Strap, Block Heel","Oversized Bow, Polished Metal"
UPPER,Upper,item-50,[50],Brunello Cucinelli,1670 EUR,/mock/UPPER/P01124968 Background Removed.png,Earthen Traverse,"Buffed leather, in tones of stone and umber, provides a durable outer layer to this structured construction. Woven laces secure the ankle, complementing hardware with a burnished character, while a robust sole anchors the whole to the earth. Softness from wool and cashmere intersects the more rugged leather.","Stone, Umber, Flax","Buffed Leather, Corded Texture","Ankle Support, Robust Sole","Burnished Hardware, Woven Laces"
UPPER,Upper,item-51,[51],Dolce&Gabbana,1840 EUR,/mock/UPPER/P01136627 Background Removed.png,Sculpted Silhouette,"Dense, dark wool forms a structured silhouette distinguished by a high waist and wide leg. A crisp gabardine surface is defined by a pressed crease, streamlining the form, and secured with a buttoned closure. Graphite and jet hues engage in a near monochrome study.","Jet, Graphite, Charcoal","Crisp Gabardine, Clean Finish","High Waisted, Wide Leg","Buttoned Closure, Pressed Crease"
UPPER,Upper,item-52,[52],Alaïa,3630 EUR,/mock/UPPER/P01148993 Background Removed.png,Amorous Gesture,"A curved form of supple black leather suggests a contained volume, secured by twin, circumferential zippers. A slender strap provides the means of transport, while a knotted detail introduces tension, its polished hardware reflecting the surrounding darkness. The surface is a study in ebony and onyx.","Onyx, Ebony, Raven","Supple Leather, Smooth Grain","Curved Form, Slender Strap","Knotted Detail, Polished Fasteners"
UPPER,Upper,item-53,[53],Saint Laurent,1570 EUR,/mock/UPPER/P01107112 Background Removed.png,Lucent Drape,"Fluid silk satin drapes with a delicate sheen, its surface broken only by covered buttons down a loosely structured form. A self-tie collar allows for variable configuration, while the palette leans toward an expanse of ivory and pearl. Cream tones permeate the reflective material.","Ivory, Pearl, Cream","Satin Face, Fluid Sheen","Loose Silhouette, Wide Sleeves","Tie Neck, Covered Buttons"
LOWER,Lower,item-54,[54],Valentino,3510 EUR,/mock/LOWER/P01107015 Background Removed.png,Naval Authority,"The density of virgin wool composes a double-breasted form, accentuated by structured shoulders and gilded buttons. A dark palette of midnight and slate is interrupted only by glints of gold hardware and the subtle sheen of viscose, revealing layered textures within the structure. The fabric exhibits a dense weave.","Midnight, Ink, Slate","Woolen Cloth, Dense Weave","Double Breasted, Peak Lapel","Gilded Buttons, Structured Shoulders"
LOWER,Lower,item-55,[55],Gianvito Rossi,1910 EUR,/mock/LOWER/P01107019 Background Removed.png,Crimson Reverie,"Smooth calf leather in a cardinal hue defines a low-profile structure, secured with delicate hardware and a buckled ankle closure. A rounded toe offers a softened edge to the substantial form while polished surfaces reflect a saturated red. The warm tones embody a concentrated energy.","Cardinal, Cherry, Scarlet","Smooth Calf, Polished Finish","Low Profile, Rounded Toe","Buckled Ankle, Delicate Hardware"
LOWER,Lower,item-56,[56],Chloé,4300 EUR,/mock/LOWER/P01114282 Background Removed.png,Winter Bloom,"A columnar form of wool and cashmere possesses a delicate open knit, revealing a nuanced surface of textural stitches. Chalk and ivory create a lightness, contrasted by the subtle weight of the material, enhanced by a ruffled shoulder detail. A fine gauge lends a delicate sheen.","Ivory, Chalk, Snow","Open Knit, Fine Gauge","Columnar Silhouette, Long Line","Ruffled Shoulders, Delicate Sheen"
LOWER,Lower,item-57,[57],Christopher Esber,1680 EUR,/mock/LOWER/P01114319 Background Removed.png,Ember Cascade,"Slender leather straps support a sculpted heel, accented with the raw, textured edges of fringed detail. Buckled closures secure the construction, in shades of umber and russet, which evoke earthy tones. A supple leather surface denotes a sense of relaxed fluidity.","Chocolate, Umber, Russet","Supple Leather, Raw Edge","Slender Strap, Sculpted Heel","Fringed Detail, Buckled Closure"
LOWER,Lower,item-58,[58],Jimmy Choo,840 EUR,/mock/LOWER/P01115823 Background Removed.png,Citrus Horizon,"Woven fibers of orange and terracotta converge in a substantial form, supported by a raised, cork foundation. Metallic silver hardware punctuates the surface, a geometric counterpoint to the broad expanse of the structure, suggesting a deliberate stride.","Terracotta, Tangerine, Coral","Woven Raffia, Cork Base","Platform Sole, Broad Stride","Metallic Buckle, Geometric Detail"
LOWER,Lower,item-59,[59],Brunello Cucinelli,1740 EUR,/mock/LOWER/P01139969 Background Removed.png,Gilded Ascent,"Burnished metallic leather, possessing a supple grain, forms an enveloping structure around the foot. Knit trims and faceted brass beads, catching the light with a honeyed glow, trace angular lines along the surface, secured by woven lacings.","Gold Leaf, Bronze, Honey","Metallic Leather, Supple Grain","Chunky Sole, Ankle Wrap","Woven Laces, Angular Profile"
LOWER,Lower,item-60,[60],Roxanne First,3040 EUR,/mock/LOWER/P01107862 Background Removed.png,Ephemeral Bloom,"Rose gold, alloyed to fourteen karats, descends in a delicate chain, culminating in a cluster of pavé-set pink sapphires. The stones, each a fraction of a carat, emit a pale luminescence against the polished facets of the metal.","Rose, Garnet, Pale Gold","Polished Facets, Delicate Chain","Linear Descent, Central Focus","Gemstone Cluster, Fine Link"
SILHOUETTE,Silhouette,item-61,[61],Gabriela Hearst,1360 EUR,/mock/SILHOUETTE/P01146510 Background Removed.png,Winter Cloud,"An expanse of ivory cashmere, loosely knit, yields a voluminous form with a relaxed, dropped shoulder. The material possesses a soft pile, its surface subtly textured, suggesting warmth and ease.","Cream, Chalk, Ivory","Lofty Knit, Soft Pile","Oversized Volume, Dropped Shoulder","Textured Weave, Relaxed Silhouette"
SILHOUETTE,Silhouette,item-62,[62],Christopher Esber,2520 EUR,/mock/SILHOUETTE/P01155597 Background Removed.png,Twisted Orbit,"Jet-black cotton jersey is sculpted into an asymmetric drape, the fabric possessing a subtle sheen. A gold-toned embellishment, precisely positioned, anchors the minimalist form with a metallic accent.","Jet, Onyx, Charcoal","Smooth Jersey, Subtle Sheen","Sculpted Twist, Asymmetric Drape","Metallic Hardware, Minimalist Form"
SILHOUETTE,Silhouette,item-63,[63],Lemaire,870 EUR,/mock/SILHOUETTE/P01158857 Background Removed.png,Shadowed Ease,"Dark leather, treated to a supple finish, conforms to a streamlined profile. A low heel and rounded toe contribute to the overall smoothness, the surface marked only by clean, deliberate seams.","Ebony, Graphite, Umber","Pebbled Leather, Supple Finish","Streamlined Profile, Low Heel","Rounded Toe, Clean Seam"
SILHOUETTE,Silhouette,item-64,[64],The Attico,2480 EUR,/mock/SILHOUETTE/P01159255 Background Removed.png,Bronze Embrace,"Copper-toned goat leather, polished to a sheen, forms delicate straps that trace the foot and ascend the leg. The flat sole provides a grounding base to the intricate lacework, creating a sculpted bed for the foot.","Terracotta, Copper, Rust","Metallic Leather, Polished Sheen","Delicate Strap, Flat Sole","Lace-Up Detail, Sculpted Bed"
SILHOUETTE,Silhouette,item-65,[65],Loro Piana,2030 EUR,/mock/SILHOUETTE/P01160410 Background Removed.png,Woven Grid Descent,"Silk sablé, a pale beige hue, is rendered into a series of fine pleats, creating vertical channels that define the form. A subtle checkering pattern is woven into the fabric, lending a delicate texture to the linear descent.","Cream, Russet, Pale Beige","Fine Pleats, Textured Weave","Linear Descent, Vertical Channels","Subtle Checkering, Delicate Lines"
SILHOUETTE,Silhouette,item-66,[66],Gucci,2660 EUR,/mock/SILHOUETTE/P01166002 Background Removed.png,Botanical Reverie,"Lustrous silk twill, saturated in burgundy, serves as a flat plane for a dense arrangement of floral motifs. Insect forms intertwine with lush blooms, creating a vibrant surface alive with color and detail.","Burgundy, Emerald, Rose","Satin Sheen, Floral Print","Dense Arrangement, Flat Plane","Insect Motifs, Lush Bloom"
SILHOUETTE,Silhouette,item-67,[67],Balenciaga,1330 EUR,/mock/SILHOUETTE/P00996469 Background Removed.png,Neutral Horizon,"A blend of cotton and polyester creates a textured knit, forming a relaxed silhouette with subtle ribbing. A vertical zip closure defines the front of the structure, offering a minimalist form in shades of ivory and stone.","Ivory, Chalk, Stone","Textured Knit, Soft Pile","Relaxed Silhouette, Vertical Zip","Subtle Ribbing, Minimalist Form"
